x_m,y_m,y_p
10.577566433655463,0.0,9.265055902196108e-09
11.799415898023483,0.000291203169794,8.305643699992589e-09
13.162405209911277,0.0,1.4891160506624705e-08
14.682837896994581,0.0004680331330124,1.2514833432303165e-08
16.37890076101627,0.0002097837554154,1.271475477580986e-08
18.27088142096365,0.0001880602928811,1.8773374814637063e-08
20.38141098537321,0.0006743453264718,2.464299159587768e-08
22.735734756510862,0.0,3.1789729783462494e-08
25.36201420448176,0.0008128756533734,5.1199526257300654e-08
28.2916638233621,0.0,4.936170828398627e-08
31.559726898689796,0.0005443689868186,5.201341642085253e-08
35.20529468109312,0.0001951994631686,5.532646966726394e-08
39.27197398004283,0.0,4.554219338947295e-08
43.80840877089551,0.0003137322178663,4.949480371116284e-08
48.86886205448088,7.031117907742006e-05,6.266883207741451e-08
54.51386492920233,0.0003151516880783,6.87635471268451e-08
60.81094063958931,0.0001695103187888,6.627626036774778e-08
67.83541226207763,0.0004052193032096,6.483086237075046e-08
75.67130368922886,0.0002270363495608,7.203981908414856e-08
84.41234468959831,0.0007326948662477,8.083381018692096e-08
94.16309206537169,0.000364901707862,7.363419422988899e-08
105.0401803186052,0.0005888079343962,8.676834135125464e-08
117.17371678603388,0.0001466210770413,8.656532211342782e-08
130.70883793048688,0.0001577258599628,9.194071408747821e-08
145.8074454046391,0.0001649585939305,9.2754116075593e-08
162.65014265319317,0.0002535031759706,9.278976568129976e-08
181.43839521834454,0.000189377077938,8.959536551798463e-08
202.3969405892305,0.0001867434374917,8.388863069516939e-08
225.77647642101013,0.0002130619766933,8.99057847541644e-08
251.856659278966,0.000272855784005,9.149116882001585e-08
280.9494497773924,0.0001712207743963,9.405151116120924e-08
313.4028441264709,0.0001644541861513,9.873570501360603e-08
349.60503672239156,0.0002850210424873,1.054008151846407e-07
389.9890635719392,0.0001321586025932,1.0086295693772485e-07
435.037982094315,0.0003001325015298,9.49520201219225e-08
485.2906492588914,0.0001203659381856,8.819923049376689e-08
541.3481671746516,0.0001777206806044,7.718783634430304e-08
603.8810732308488,0.0001763871254947,7.144663055050004e-08
673.6373607944436,0.0001428198171799,6.975835833182997e-08
751.4514264046679,7.316033351961732e-05,6.382262637333858e-08
838.2540504874387,8.607960020438951e-05,9.434336949079629e-08
935.0835309748942,9.186418104380512e-05,5.341512889442694e-08
1043.0981030059193,9.552772815739938e-05,1.3035062209377966e-07
1163.5897932671005,0.0001417417992947,1.0015936697555764e-07
1297.9998746941355,9.52981472614958e-05,1.2506143259375322e-07
1447.9361063966012,8.542986300123543e-05,4.5036086850543675e-08
1615.191965023093,9.998395678320625e-05,5.068040236643883e-08
1801.7680976045617,0.0001277710656315,4.7742481072867256e-08
2009.8962524860933,0.0001487312470514,6.764950502468907e-08
2242.065974599267,9.808174710716767e-05,7.487712667063583e-08
2501.054384393178,5.770092324735749e-05,2.773697256875924e-08
